Resumen;Class
As a mouse I want installation instructions on how to configure and deploy CONNECT 4.x to be FIPS 140-2 compliant on a WebLogic 11g app server so that I can install CONNECT in my secure environment;0
As a CONNECT adopter I want installation instructions on how to configure and deploy CONNECT 4.x to be FIPS 140-2 compliant on a WebSphere 7.0 app server so that I can install CONNECT in my secure environment;1
As a CONNECT adopter I want installation instructions on how to configure and deploy CONNECT to be FIPS 140-2 compliant on JBoss app server so that I can install CONNECT in my secure environment;1
As a CONNECT adopter I want Release Notes for 4.3 to be documented on the wiki, so that I understand the features, bug fixes packaged with this release;1
As a bug I want Release Notes for 4.3 to be documented on the wiki, so that I understand the features, bug fixes packaged with this release;1
As a CONNECT adopter I want Release Notes for 4.4 to be documented on the wiki, so that I understand the features, bug fixes packaged with this release;1
As a CONNECT adopter receiving Direct messages, I need the ability to provide Negative delivery notification message to the Sending STA so that the sender may be informed of a failed delivery.;1
As a CONNECT adopter receiving Direct messages, I need the ability to provide Positive delivery notification message(MDN) to the Sending STA so that the sender may be informed of a successful delivery.;1
As a CONNECT adopter sending Direct messages  I want to have the ability to request  delivery notification messages from Receiving STAs, so that I am informed of a successful or failed delivery.;1
As a mail sending Direct messages  I want to have the ability to request  delivery notification messages from Receiving STAs, so that I am informed of a successful or failed delivery.;0
As a CONNECT adopter sending Direct messages, I want to have the ability to inform the Sending STA that I am using Processed notifications for delivery tracking;1
As a CONNECT adopter sending Direct messages, I want to receive a failure notification when the message I initiated was not sent to the Receiving STA so that I am informed of a  failed delivery ;1
As a book sending Direct messages, I want to receive a failure notification when the message I initiated was not sent to the Receiving STA so that I am informed of a  failed delivery ;0
As a CONNECT adopter sending Direct messages, I want to receive a failure notification when the Receiving STA's SMTP infrastructure rejects the message, so that I am informed of the failure and can take necessary next steps.;1
As a CONNECT adopter sending Direct messages, I want to receive a notification  when positive or negative delivery notification message is received by the gateway from the Responding STA, so that I am informed of a successful or failed delivery;1
As a CONNECT adopter sending Direct messages, I want to receive an error notification when the Initiating gateway cannot accept my message due to some reason, so that I  can take necessary next steps.;1
As a CONNECT adopter sending Direct messages, I want to receive failure notification when a Processed MDN message is not received from the receiving STA in a configured timeframe, so that I can monitor messages that could have failed. ;1
As a CONNECT adopter sending Direct messages, I want to receive failure notifications when no requested delivery notifications are received from the receiving STA in a defined time, so that I can monitor messages that could have failed. ;1
As a CONNECT adopter supporting deferred PD services I would like to know about the requests  that were fanned out by the gateway to multiple target communities so that I can keep track of the responses as I receive them.;1
As a cook supporting deferred PD services I would like to know about the requests  that were fanned out by the gateway to multiple target communities so that I can keep track of the responses as I receive them.;0
As a CONNECT adopter supporting Deferred PD services, I need the MessageID for the fan-out requests to be unique so that the service is spec compliant;1
As a CONNECT adopter testing the gateway against CCHIT's DIL, I want to have a reusable set of SOAP UI tests that validate PD, QD and RD initiating and responding scenarios,  so that we can easily test and validate against the DIL.;1
As a CONNECT adopter using Direct I do not want to relay MDN notifications back to the edge to avoid redundant notifications and inorder to be spec compliant;1
As a CONNECT adopter using Direct transport, I want CONNECT to be kept up to date with the Direct Reference Implementation and Direct Implementation guides so that the community can make use of success/failure delivery notifications and trust bundles;1
As a CONNECT adopter using Direct, I want all delivery notifications sent or received from the remote STA or the edge to be logged in the CONNECT event logs so that I can troubleshoot and track message delivery;1
As a knife using Direct, I want all delivery notifications sent or received from the remote STA or the edge to be logged in the CONNECT event logs so that I can troubleshoot and track message delivery;0
As a CONNECT Adopter utilizing CONNECT I need to understand at the individual message field level the meaning of each field and how CONNECT is using it for Patient Discovery.   ;1
As a CONNECT adopter,  I need CONNECT to log auditing transactions to the audit repository asynchronously in order to improve performance;1
As a bill,  I need CONNECT to log auditing transactions to the audit repository asynchronously in order to improve performance;0
As a CONNECT Adopter, CONNECT needs to provide a new MPI Adapter with an optional and configurable underlying database implementation for storing patient records.;1
As a CONNECT Adopter, I can understand the technical design because it's well documented on the wiki;1
As a CONNECT adopter, I find it annoying that CONNECT urls are inconsistent.;1
As a CONNECT Adopter, I need a light weight policy engine implemented by a PDP implementation for evaluating the policies against the request context and determining a decision. ;1
As a CONNECT adopter, I need all bugs related to HIEM service for Notify, Subscribe and Unsubscribe to be fixed and HIEM service successfully validated so that I can use HIEM service;1
As a fire, I need all bugs related to HIEM service for Notify, Subscribe and Unsubscribe to be fixed and HIEM service successfully validated so that I can use HIEM service;0
As a CONNECT adopter, I need CONNECT 3.3 to be Exchange ready and certified by the eHealth Exchange certification body (CCHIT) so that I can use a certified product for health data exchange;1
As a CONNECT adopter, I need CONNECT 4.6 to be Exchange ready and certified by the eHealth Exchange so that I can use a certified product for health data exchange;1
As a CONNECT adopter, I need Direct to be deployed as a selectable service so that I can only install the services I need to minimize memory footprint;1
As a CONNECT adopter, I need my policy adapters to have access to the Role value from the gateway so that this information can be made available for audit purposes;1
As a CONNECT Adopter, I need the ability for a call to a web service to issue a retry upon timeout for a specified number of retries which can be configurable;1
As a bug, I need the ability for a call to a web service to issue a retry upon timeout for a specified number of retries which can be configurable;0
As a CONNECT Adopter, I need the ability to select which services are supported during deployment to maximize flexibility for interoperabililty and performance (User Story: EST013 & CLONE of GW474);1
As a CONNECT adopter, I need the audit database to contain audit fields as specified by the specs so that ATNA compliant audit messages be generated by the adopter for all messages.;1
As a CONNECT adopter, I need the CONNECT Gateway to support both secure and unsecure inbound ports for inbound traffic for increased implementation flexibility, such as using a security appliance in my installation.;1
As a CONNECT adopter, I need to log my transactions(server and audit logs) asynchronously as opposed to synchronously to help improve performance.;1
As a CONNECT adopter, I need to understand how fanning out requests to multiple communities is handled with the multi-specification implementation in CONNECT ;1
As a song, I need to understand how fanning out requests to multiple communities is handled with the multi-specification implementation in CONNECT ;0
As a CONNECT adopter, I need to understand how to configure the system to prevent logging PHI information in the server logs;1
As a CONNECT adopter, I want 4.3 to be install tested so that the installation is successfully  validated in the supported environments;1
As a wheel, I want 4.3 to be install tested so that the installation is successfully  validated in the supported environments;0
As a CONNECT adopter, I want 5.3 to be install tested so that the installation is successfully validated in the supported environments;1
"As a CONNECT adopter, I want a ""Tuning guide"" or ""Performance Tip Sheet"" to help anticipate, understand and avoid performance issues where possible ";1
"As a car, I want a ""Tuning guide"" or ""Performance Tip Sheet"" to help anticipate, understand and avoid performance issues where possible ";0
As a CONNECT adopter, I want a Release test plan for 4.3 so that the community understands how 4.3 has been tested prior to making it available;1
As a CONNECT adopter, I want a Release test plan so that the community understands how 4.4 has been tested prior to making it available;1
As a CONNECT adopter, I want a sourceless distribution option to enable to me to configure how connect is packaged and deployed,;1
As a CONNECT adopter, I want an installer that automates CONNECT deployment so that I can quickly implement CONNECT for Exchange messaging;1
As a CONNECT adopter, I want CONNECT 4.0 to  be tested on WebSphere 7.x to validate whether CONNECT will work in my preferred enviornment;1
As a CONNECT adopter, I want CONNECT 4.0 to  be tested on WebSphere 7.x using  IBM SDK 6 to validate that CONNECT will work in my preferred enviornment;1
As a CONNECT adopter, I want CONNECT 4.6 to be published/released, so that the community and federal agencies can avail of the enhancements and bug fixes in this release;1
As a CONNECT adopter, I want CONNECT 4.7 to be published/released, so that the community and federal agencies can avail of the enhancements and bug fixes in this release;1
As a CONNECT adopter, I want CONNECT to  be implemented using Java 1.6 so that I can use it in my preferred environment;1
As a CONNECT adopter, I want CONNECT to be deployable in JBOSS, so that I can use my preferred application server for health data exchange.;1
As a CONNECT adopter, I want CONNECT to be tested with the MU2 test cases for Direct related transports to enable my CONNECT implementation to be certified for MU2/ONC 2014 certification;1
As a CONNECT adopter, I want CONNECT to include a Keep-Alive option to bypass proxy server timeout issues;1
As a CONNECT adopter, I want CONNECT to interface with state PDMPs so I can request patient prescription data;1
As a CONNECT adopter, I want CONNECT to meet performance expectations for Exchange services when Direct is deployed and used, so that my Exchange partners are not impacted if I want to include Direct;1
As a CONNECT adopter, I want CONNECT to return an error message when the passthrough request includes multiple target communities, so that I am informed of the behavior;1
As a CONNECT adopter, I want CONNECT to support NwHIN X12 Document submission service to support RACs with other alternative methods for documentation exchange for claims determination;1
As a CONNECT adopter, I want CONNECT to use Apache CXF 2.7.3, inorder to fix some security vulnerabilities  found in 2.7.2.;1
As a CONNECT adopter, I want CONNECT to use latest Hibernate version, in order to be on the latest released version.;1
As a CONNECT adopter, I want CONNECT to use MySQL 5.6, in order to have better performance and sub second granularity in timestamps.;1
As a CONNECT adopter, I want CONNECT upgraded to CXF 3.1.7 so the software is more secure;1
As a CONNECT adopter, I want deferred Document Submission responses to include a document payload;1
As a CONNECT adopter, I want easy to use adapters so that integrating my EHR system with CONNECT is simplified and helps speed up the time taken to bring my system up integrating with the eHealth Exchange via CONNECT.;1
As a CONNECT adopter, I want FIPS support all supported application servers;1
As a CONNECT adopter, I want improvements in the interoperability testing infrastructure and testing process so that interoperability testing is streamlined and enhanced to include updated scripts for functionality, and helps minimize costs;1
As a CONNECT adopter, I want instructions for deploying CONNECT on WildFly in FIPS mode;1
As a CONNECT adopter, I want new features and bug fixes are re-tested so that new functionality is validated prior to release;1
As a CONNECT adopter, I want Release 4.3 to be tested with other prior versions of CONNECT to validate that Release 4.3 is interoperable with prior versions;1
As a CONNECT adopter, I want Release 4.4 to be tested with other prior versions of CONNECT to validate that Release 4.4 is interoperable with prior versions;1
As a CONNECT adopter, I want release 4.5.1 to be published, so that the community can avail of the bug fixes in this patch release;1
As a CONNECT adopter, I want release notes and other documentation for 4.4 so that the community understands the features and artifacts for the release;1
As a CONNECT adopter, I want security risk assessment performed for CONNECT 4, so that CONNECT 4 adopters can use the report to help them with their C&A needs;1
As a CONNECT adopter, I want the ability to create a user to provide access to the admin GUI functionality;1
As a CONNECT adopter, I want the ability to load test data (patients and documents) via the AdminGUI;1
As a CONNECT adopter, I want the ability to send  Real Time NwHIN CAQH CORE X12 Document Submission transactions with X12 payload.;1
As a CONNECT adopter, I want the CONNECT validation suite to be able to run against a remote server so that CONNECT is thoroughly tested against self and other machines.;1
As a CONNECT adopter, I want the legacy universal client to be included in the Admin GUI and enhanced with the new look and feel so that it is easier to use and consistent with the CONNECT GUI look and feel;1
As a CONNECT adopter, I want the newly discovered Fortify issues to be fixed so that we the product is secure ;1
As a CONNECT adopter, I want the next Release 4.4 to be install tested so that the installation is successfully validated in supported environments;1
As a CONNECT adopter, I want the regression suite to be well organized and documented so that understanding and executing the test suite is easier and the regression suite is easy to maintain;1
As a CONNECT adopter, I want the Spring framework to be upgraded to 5.0 for enhanced security and agency requirement support;1
As a CONNECT adopter, I want to address all Medium and Low Fortify issues so that the code quality is improved;1
As a CONNECT adopter, I want to audit PD messages per ATNA specifications so that the PD audits are compliant.;1
As a CONNECT adopter, I want to be able to enable and disable services by organization on the fly;1
As a CONNECT Adopter, I want to be able to extend the Gateway where different transport methods are supported to better communicate with different exchange participants and broaden exchange participants;1
As a CONNECT Adopter, I want to call a simple interface (well defined API) to integrate with CONNECT as quickly and simply (a limited set of required fields) as possible;1
As a CONNECT adopter, I want to complete documentation for 4.3 updated on the wiki, so that the community understands the enhancements and artifacts for the release;1
As a CONNECT adopter, I want to define and implement a process for static code analysis to help improve the software with regards to software issues.;1
As a CONNECT adopter, I want to ensure that CONNECT 3.3.1 has completed NwHIN onboarding validation testing, so that I can have some assurance that the CONNECT components of exchange are capable of passing onboarding validation  testing.;1
As a CONNECT adopter, I want to improve CONNECT's audit logging across all SOAP based services so that gateway is ATNA compliant, auditing framework is consistent across all services and audit information is available for reporting purposes;1
As a CONNECT Adopter, I want to install CONNECT as a complete product (COTS) in order to remove concern about which app-server to use or the configuration. ;1
As a CONNECT adopter, I want to instruct the gateway which spec version/endpoint  to target for QD service so that I have greater flexibility when exchanging with my trading partners.;1
As a CONNECT adopter, I want to instruct the gateway which spec version/endpoint  to target for RD service so that I have greater flexibility when exchanging with my trading partners.;1
As a CONNECT adopter, I want to know how to enable FIPS on a CONNECT 3.3 installation on GlassFish 3.1.2;1
As a CONNECT Adopter, I want to know that upgrading CONNECT won't break my current ability to exchange information and my working adapters in order to lower the hurdles to upgrading (User Story: U0005 & CLONE of GW441);1
As a CONNECT adopter, I want to know the CONNECT 3.3 test plan, so that I can understand how it was tested prior to release.;1
As a CONNECT adopter, I want to know the service version of the inbound QD request, so that I can determine how to validate/process the request and generate the appropriate response.;1
As a CONNECT Adopter, I want to process and send large payload sizes of up to 1 GB to meet the requirements of all my use cases (User Story: EST010 & CLONE of GW473);1
As a CONNECT Adopter, I want to process and send large payload sizes of up to 1 GB to meet the requirements of all my use cases (User Story: EST010);1
As a CONNECT adopter, I want to run CONNECT 3.3 on GlassFish 3.1.2 (with and without FIPS enabled);1
As a CONNECT adopter, I want to run the smoke test to make sure that fixes for CONN-355 does not negatively impact the release.;1
As a CONNECT adopter, I want to understand how certificates are configured in CONNECT, so that I can configure them correctly in my environment.;1
As a CONNECT adopter, I want to view a demo of Admin GUI framework so that I understand the capabilities that have been developed and can provide additional guidance and direction for further development;1
As a CONNECT adopter, I would like a certificate management interface so I can more efficiently manage Exchange certificates;1
As a CONNECT adopter, I would like a simplified installation process that included Glassfish 3.1.1 and Metro 2.1.1, so that I can download and install a standard Glassfish/Metro combination.;1
As a CONNECT adopter, I would like an interface in the System Administration module for pinging remote partners so that I may trouble shoot connectivity.;1
"As a CONNECT adopter, I would like assistance installing and configuring ""Direct only"" for CONNECT 4.";1
As a CONNECT adopter, I would like CONNECT SAML handling to conform completely to the NwHIN specifications;1
As a CONNECT adopter, I would like consolidated CONNECT documentation so I can find quickly find CONNECT answers ;1
As a CONNECT adopter, I would like to be able to configure my Webservice timeouts by transaction to allow for greater flexibility managing my transaction/response time across my trading partners;1
As a CONNECT adopter, I would like to have the next release 4.4 and artifacts published so that I can take advantage of the new features and improvements in this release;1
As a CONNECT Adopter, there is a requirement for support of Multiple Assigning Authority to support the capability of responding and saving multiple unique patient identifiers of a patient from a community. ;1
As a CONNECT adopter/developer I want a clean property file (gateway.properties) so that there is no confusion with regards to the unused properties or default values.;1
As a CONNECT adopter/developer, I want to Increase Cobertura coverage for Policy Engine, Aggregator, and Transform packages by at least 20% in line, method, and branch statistics so that code quality is improved;1
As a CONNECT adopter/developer, I would like CONNECT to use liquibase for easier database management.;1
As a CONNECT adopter/product owner, I want the report for the security scan reviewed, responded to and issues addressed so that I can better understand the security issues associated with the CONNECT code and prepare for internal reviews;1
As a CONNECT Community member I would like to be notified and understand the CONNECT 4.1 release via Patch Release notes on the wiki;1
As a CONNECT community member, I need Direct installation instructions to be updated to detail configuration steps, so that I can easily install and configure Direct in my environment;1
As a CONNECT contributor I would like the CONNECT READMEs to be current and easy to update;1
As a CONNECT Contributor, I need the Source Code to be well organized and easily understood in order to build upon the CONNECT framework to better serve Healthcare Interoperability and the Government's investment;1
As a CONNECT Custodial Agent we need to prepare CONNECT for other essential risks in health care like integrity and availability faults.  CONNECT needs automated controls to detect, report, alarm, diagnose and correct integrity and availability issues. ;1
As a CONNECT deployer, the startup logs should be free of errors and warnings;1
As a CONNECT developer I want a backing bean for the admin gui page to show which remote gateways a local gateway is talking to.;1
As a CONNECT developer I want an automated performance test suite which can be integrated into CI;1
As a CONNECT developer I want the Validation Suite to support more configurability options.;1
As a CONNECT developer I want to analyze Direct functionality and design an approach to creating test scripts in order to have functional level testing coverage of Direct;1
"As a CONNECT developer I want to automatically deploy the latest code to the ""latest"" interop boxes nightly";1
"As a CONNECT developer I want to create a ""create user"" page for the admin GUI";1
As a CONNECT developer I want to create direct configuration services which fit into the CONNECT techstack.;1
As a CONNECT developer I want to create the managed bean and service integration to create a user;1
As a CONNECT developer I want to deploy Connect with maven cargo on WebLogic app server to simplify configuration and deployment;1
As a CONNECT developer I want to deploy connect with maven cargo on WebSphere app server to simplify configuration and deployment;1
As a CONNECT developer I want to design and document automated interop lab testing;1
As a CONNECT developer I want to do a dry run of the HIMSS 2014 demo with good data.;1
As a CONNECT developer I want to implement some Direct configuration web services.;1
As a CONNECT developer I want to rebrand the portal with CONNECT theme to demo at HIMSS 2014;1
As a CONNECT developer I want to replace ant install and ant deploy.connect with maven cargo on GlassFish app server to simplify configuration and deployment;1
As a CONNECT developer I want to set up a UDDI implementation, to increase test coverage in interop testing.;1
As a CONNECT developer I want to update CONNECT Direct code to support new event logging events;1
As a CONNECT developer I want to work on some improvements related to build/deploy, code cleanup,regression and component tech upgrades so that the code is easier to maintain,build times are improved;1
As a CONNECT developer I want to work on testing improvements for regression, interoperability and performance testing so that  coverage levels are improved;1
As a CONNECT developer I would like a Admin GUI page to display the remote gateways that the local gateway is communicating with.;1
As a Connect Developer would like to update Gateway with new version of Apache WSS4J;1
As a CONNECT Developer, CONNECTCoreLib should be free of static analysis errors and warnings;1
As a CONNECT developer, I can build core libraries and services independently from each other;1
As a CONNECT developer, I need to create a template for individual test results report, so that I can populate said template to track each of my performance tests.;1
As a CONNECT developer, I need to present options to the team for resolving application logging issues with large payloads, so that we can develop a solution.;1
As a CONNECT developer, I need to push CONNECT libraries built with Java 6 to maven central, to support Java 6 for the Federal Partners.;1
As a CONNECT developer, I need to update test suite to include test cases for bugs/improvements fixed for Release 4.2 so that going forward these tests are included as part of release testing;1
As a CONNECT developer, I need to update the CONNECT codebase to use Java 6, to support Federal Partners.;1
As a CONNECT developer, I run wsdl2java generation as few times as possible during normal CI;1
As a CONNECT Developer, I wan to create the design approach for Direct enhancements;1
As a CONNECT developer, I want a set of JMX utility classes, so that I can quickly update CONNECT configurations.;1
AS a CONNECT developer, I want all assertions upgrades to be completely tested so the code can be included in the next release;1
As a CONNECT developer, I want integration tests moved out of the build (and replaced with JUnit tests when necessary) so that tests are scoped appropriately.;1
As a CONNECT developer, I want the Direct GUI pages to be integrated with the config webservices both for retrieving and submitting information;1
As a CONNECT developer, I want the option to build CONNECT without any dependencies on Direct so that non-Direct builds cannot hang or fail on Direct unit tests.;1
As a CONNECT developer, I want to adopt Gateway adapter pattern for ExchangeManager;1
As a CONNECT developer, I want to adopt liquibase for CDBM so that I can support new databases;1
As a CONNECT developer, I want to be able to query event logs, to display information for message tracking.;1
As a CONNECT developer, I want to consolidate caching of configuration files into one subsystem to simplify code and help code maintainenance;1
As a CONNECT developer, I want to create binary distributions in a single command so that I can have consistent binaries and simplify the process for binary creation and distribution;1
As a CONNECT developer, I want to create WSDLs for NwHIN, Adapter and Entity interfaces for CAQH Core X12 Document Submission Service specifications so that I may better understand the synchronous and batch(deferred) X12 transactions;1
As a CONNECT developer, I want to eliminate audit transforms when auditing is not enabled, to make the gateway run more efficiently.;1
As a CONNECT developer, I want to hide all the Direct AdminGUI pages if Direct components are not deployed;1
As a CONNECT developer, I want to implement Spring/Hibernate Direct configuration services as part of CONNECT so that I can change Direct config settings through the Admin GUI;1
As a CONNECT developer, I want to implement static code analyzers in CONNECT via maven and jenkins, to understand the quality of code.;1
As a CONNECT developer, I want to include the security plugin for findbugs, to help identify security vulnerabilities in CONNECT.;1
As a CONNECT Developer, I want to Increase Cobertura coverage for Patient Corelation and Doc repository packages by at least 20% in line, method, and branch statistics so that code quality is improved;1
As a CONNECT Developer, I want to migrate the automated test environment and regression test suites from GlassFish server to the Wildfly since GlassFish is no longer a supported application server;1
As a CONNECT developer, I want to participate in the Direct connect-a-thon, so that we can validate our implementation of the Direct specifications;1
As a CONNECT developer, I want to participate in the Direct Virtual Connect-A-Thon so that I can test the Direct feature with other Direct instances and understand scalable trust, trust bundles;1
As a CONNECT developer, I want to PoC streaming web services, to determine their feasibility in CONNECT.;1
As a CONNECT developer, I want to provide a mechanism to manage gateway configuration, so that my team and our adopters can more easily manage their gateway.;1
As a CONNECT developer, I want to provide documentation on CONNECT scalability;1
"As a CONNECT developer, I want to pull out ""neat"" adapters into a ""plugins"" repo, so that open source developers can more easily maintain them.";1
As a CONNECT developer, I want to release 4.1.;1
As a CONNECT developer, I want to research CommonWell specifications so CONNECT can support exchange on the CommonWell network;1
As a CONNECT developer, I want to research design options related to determining what version of the spec an incoming message is implementing to support partner usecase(CONN-46);1
As a CONNECT developer, I want to research PDMP services for querying patient opioid information;1
As a CONNECT developer, I want to research the CareEquality framework, including possibly adding support for NRL services.;1
As a CONNECT Developer, I want to resolve all of the Forty findings with Critical or High priorities.;1
"As a CONNECT developer, I want to run Direct in ""loopback"" mode, to assist in developing and updating the Direct Implementation.";1
As a CONNECT developer, I want to run the regression suite via maven, so that I can run the whole regression suite at one time.;1
As a CONNECT developer, I want to set up an environment for a HIMSS 2014 demo.;1
As a CONNECT developer, I want to setup interoperability lab in GFE servers and not use Terremark so that the interop testing environment is stable;1
As a CONNECT developer, I want to switch to and from passthru mode with out restarting the gateway, so that I can test faster.;1
As a CONNECT developer, I want to update DQ auditing so that DQ audits follow the ATNA specifications;1
As a CONNECT developer, I would like the interoperability dashboard collector program updated to provide test diagnostic information.;1
As a CONNECT developer, I would like to have a profile that would disable the SOAPUI tests.;1
As a CONNECT Developer, I would like to pull out the Policy Engine adapter logic into a plugin, so that I can improve the policy engine functionality;1
As a CONNECT developer, I would like to script JBoss to automatically deploy and test via CI so that the validation tests are run at checkin and errors are caught earlier in the development process;1
As a CONNECT developer, I would like to script WAS to automatically deploy and test via CI so that the validation tests are run at checkin and errors are caught earlier in the development process;1
As a CONNECT developer, I would like to script WL to automatically deploy and test via CI so that the validation tests are run at checkin and errors are caught earlier in the development process;1
As a CONNECT developer, I would like to see that the package structure actually be 'org.connectopensource'.;1
As a CONNECT developer, the build logs should be free of errors and warnings;1
As a CONNECT developer, the default build should take less than 5 minutes;1
As a CONNECT development team member, I want to improve build/install documentation so that it can be easily maintained and navigated.;1
As a CONNECT Direct developer, I want two test HISPs so I can test my Direct implementation;1
As a CONNECT Direct Hisp Adopter, I want to manage failed msgs using a separate mail folder.;1
As a CONNECT implementer I need CONNECT to run on additional platforms such as WebLogic and WebSphere to run on a more robust platform and comply with architectural requirements of my environment (User Story: EST005A);1
As a CONNECT implementer new to CONNECT, I need a tutorial on 'Learn CONNECT in 24 hours' so that I understand the business use cases supported and installation/implementation details for CONNECT;1
As a CONNECT implementer supporting a large number of trading partners, I need support for increased  throughput of CONNECT with the existing architecture, targeting increased numbers of PD, QD, RD, AD and DS related to national program roll outs.;1
As a CONNECT implementer supporting both versions of the eHealth Exchange specifications, I need to know what version of the spec a message is implementing, so that I can validate the incoming message.;1
As a CONNECT implementer using Direct specifications, I want the ability to send Direct email to multiple recipients/HISPs using a single outbound message from my edge.;1
As a CONNECT implementer, I need additional log data points for the ability to group messages into separate files divided into functional areas providing more complete performance metric data (User Story: EST009 & CLONE of GW472);1
As a CONNECT implementer, I shall have the ability to get more comprehensive event logging and metric data (counts and duration) using improved logging in CONNECT;1
As a CONNECT implementer, I shall have the ability to get more comprehensive performance logging and metric data (counts and duration) using improved logging in CONNECT;1
As a CONNECT Implementer, I want an install wizard, so that I can install CONNECT quickly and correctly;1
As a CONNECT implementer, I want HealtheWay audit checklists to be reviewed with the CONNECT codebase to identify all audit spec compliance issues ;1
As a CONNECT implementer, I want HealtheWay manual checklists to be reviewed with the CONNECT codebase to ensure there are no specification discrepancies and find out specification issues prior to release;1
As a CONNECT implementer, I want to address all High and Critical Fortify issues so that the code is secure and compliant with DoD requirements for code quality;1
As a CONNECT implementer, I want to address all security issues identified as part of Fortify scans and other security tools to be fixed so that the code is secure and compliant with DoD requirements for code quality;1
As a CONNECT implementer, I want to address all security issues identified as part of Fortify scans to be fixed so that the code is secure and compliant with DoD requirements for code quality;1
As a CONNECT implementer, I want to ensure that there are no Critical,High,Medium and Low Cat 1 issues in Fortify, high level issues in OWASP and no blockers, critical in SonarQube so that CONNECT continues to be secure and quality;1
As a CONNECT implementer, I want to ensure that there are no High, Critical and Cat 1 issues so that CONNECT continues to be secure.;1
As a CONNECT implementer, I want to instruct the gateway which spec version/endpoint  to target for a service so that I have greater flexibility when exchanging with my trading partners.;1
As a CONNECT implementer, I want to upgrade CXF to the latest version/patch so that the security and bug fixes implemented in the patch are incorporated into CONNECT resulting in CONNECT being more secure and stable.;1
As a CONNECT implementer, I would like enhanced CONNECT performance to minimize resource requirements;1
As a CONNECT implementor, I want to reuse CXF's ws-securitypolicy certificate configuration for SAML Assertion signatures, in order to simplify my certificate configuration.;1
As a CONNECT implementor, I want to use my application server's SSLSocketFactory for outbound SSL, in order to make my configuration more simple.;1
As a CONNECT member, I want CONNECT 5.3 to be tested per the 5.3 release test plan so it can be released to the CONNECT community ;1
As a CONNECT product manager, I want all the Product testing provisional test cases to be executed so that we can assess where CONNECT stands as is currently from a testing compliance perspective;1
As a CONNECT product manager, I would like to release 4.4.1 to the community, to provide a release that addresses all known issues discovered during eHealth Exchange participant certification ;1
